TMC,5,6,7,8,9,10
114+04194,44.816,101.585,140.805,142.054,146.617,142.486
114+04196,7.605,9.035,10.337,10.542,10.213,9.956
114+04197,5.289,6.172,6.977,7.18,6.974,6.772
114+04549,22.271,35.694,39.314,41.991,44.106,37.092
114+04550,22.011,31.16,31.35,32.256,35.563,30.379
114+04551,1.312,1.584,1.901,1.834,1.712,1.679
114+04552,28.8,32.86285714,84.44714286,38.345,29.422,40.33285714
114+04630,54.018,65.589,78.632,86.309,86.137,82.611
114+04634,13.844,15.219,14.764,16.256,17.836,15.443
114+08026,88.382,87.588,196.59,265.17,220.227,135.959
114+08027,123.18,145.876,176.108,240.838,211.19,150.75
114+08028,12.929,15.427,21.189,27.073,24.454,18.82
114+08029,223.061,236.735,273.174,322.622,308.546,301.053
114+08079,110.7225,115.7816667,129.519,181.965,155.631,206.187
114+08080,67.7575,60.67714286,58.916,66.80666667,58.135,68.49888889
114+08088,26.61444444,31.61888889,31.677,28.479,39.962,32.655
114+08098,12.47,12.748,22.45666667,24.062,23.16,24.78888889
114+08099,8.677,12.049,15.78,21.37,19.483,15.153
114+08100,76.658,78.012,91.161,95.452,102.946,84.661
114+08104,188.605,182.255,198.053,204.298,212.024,185.177
114+08211,446.54,516.042,568.827,475.585,446.82,552.319
114+08224,45.77714286,60.56777778,73.394,66.40111111,60.98333333,66.2275
114+08225,35.275,59.22222222,57.81,64.23,63.51714286,47.00625
114+08542,129.596,133.438,196.397,228.281,216.215,211.792
114+08571,,34.57,24.6775,49.02166667,30.534,42.74333333
114+08639,110.195,188.09,127.045,143.4588889,164.0511111,185.5211111
114+09881,210.731,288.925,329.315,424.172,366.618,323.052
114+09882,196.4455556,207.771,226.462,274.883,258.301,246.533
114+09920,163.4157143,116.568,87.806,128.456,129.3866667,152.829
114+09921,116.638,136.365,171.918,190.718,183.173,176.077
114+10168,107.693,145.033,184.731,217.057,190.678,185.685
114+10169,214.4244444,222.703,276.018,286.86,289.09,248.901
114+10219,38.26,56.67222222,81.28222222,78.91375,62.722,75.6875
114+10273,178.88,178.083,179.592,192.081,188.051,182.131
114+10460,177.454,157.9366667,200.599,217.42,198.268,180.447
114+10501,,,,,,30.7
114+10502,99.77,92.68833333,81.34714286,76.70714286,97.294,130.484
114+10504,145.7333333,224.2166667,174.089,175.298,199.911,206.109
114+10561,68.125,54.8,45.16333333,80.18166667,51.545,74.7075
114+10562,21.83,33.262,51.945,38.85333333,47.262,45.79222222
114+10563,133.3625,197.37,223.791,176.257,206.632,188.507
114+10991,162.96875,210.796,225.459,229.915,221.541,221.281
114+10992,86.601,122.651,130.814,151.423,159.392,120.772
114+11093,69.70333333,63.135,64.172,77.784,79.37,76.14777778
114+11094,90.00666667,108.6411111,141.777,145.622,158.728,157.049
114+11095,201.822,239.92,289.172,297.13,318.668,286.424
114+11102,140.33,26.535,30.21,39.5,57.198,18.71
114+11599,222.4833333,217.569,275.713,285.167,278.072,267.601
114+14383,79.8,98.673,124.4511111,137.789,119.315,118.951
114+15700,40.634,43.064,55.545,71.413,60.402,57.399
114+15710,80.055,103.3722222,144.44,165.02,159.387,160.515
114+15717,,36.43,33.15222222,33.005,30.963,36.645
114-04193,32.713,33.606,38.492,38.955,39.289,37.297
114-04194,0.375,0.379,0.461,0.482,0.461,0.429
114-04195,7.684,8.33,9.809,10.56,10.166,9.259
114-04196,13.687,14.545,21.647,30.521,25.085,18.091
114-04197,6.847,7.165,13.168,18.234,15.008,9.146
114-04548,16.827,21.135,25.465,28.118,24.433,21.539
114-04549,16.736,19.456,30.497,31.355,28.241,21.184
114-04551,25.3,35.154,60.87,87.211,63.482,34.063
114-04633,14.205,14.157,20.667,29.912,24.954,17.218
114-08015,188.35,136.936,158.23,151.343,171.818,152.371
114-08017,269.512,238.962,212.337,249.199,249.538,264.763
114-08018,17.37714286,12.898,12.267,14.719,12.168,15.514
114-08025,97.244,98.124,116.386,121.294,121.557,95.618
114-08076,16.06,44.03,53.07,56.21111111,45.01142857,28.99714286
114-08077,,20.7675,33.59222222,35.28777778,22.184,30.13714286
114-08078,208.76,279.885,191.103,180.564,186.959,221.626
114-08079,102.39,75.24333333,62.60444444,53.093,70.22,59.15
114-08093,34.7,51.36166667,48.636,48.74,48.255,60.06
114-08094,84.22,39.888,47.274,64.969,65.582,65.861
114-08101,18.827,22.435,32.296,30.696,29.668,27.039
114-08102,9.179,9.184,12.38,11.638,12.13,12.277
114-08103,34.615,53.617,57.534,52.923,54.754,53.582
114-08208,64.81375,55.7425,68.944,79.431,76.088,67.858
114-08209,51.536,44.023,53.17,65.134,55.248,49.366
114-08210,479.196,420.651,407.171,486.898,454.828,464.412
114-08546,110.4028571,106.23,148.281,126.314,131.8144444,147.4988889
114-08637,204.17,210.976,304.126,280.571,296.237,272.786
114-08638,98.99,159.005,145.912,178.231,190.936,152.748
114-09880,255.31,215.142,253.04,236.249,245.547,258.857
114-09881,262.5955556,234.088,267.455,310.055,302.482,293.908
114-09919,126.886,146.0814286,120.715,123.74,150.07,153.913
114-09920,143.861,174.341,192.496,194.675,227.598,212.703
114-10098,21.22833333,9.865,34.155,44.53375,41.969,39.738
114-10167,157.644,147.45,149.627,169.292,168.783,165.943
114-10168,178.118,232.339,246.189,319.644,312.816,280.25
114-10272,228.45,139.647,162.963,175.501,186.483,192.837
114-10499,,,37.35333333,29.21,24.26,30.7
114-10501,,51.29888889,67.545,88.5525,101.2914286,80.31857143
114-10502,,5.653333333,11.05625,12.45,11.18285714,10.295
114-10503,214.15,125.145,194.809,228.834,237.457,240.203
114-10560,,59.9275,60.04777778,72.94444444,70.528,78.24375
114-10561,51.12666667,45.49888889,49.91444444,51.207,47.188,54.48777778
114-10562,142.61875,173.628,217.416,197.139,208.751,206.68
114-10991,89.332,132.7,137.993,168.521,143.979,143.056
114-11094,217.9483333,188.806,255.702,275.448,265.949,258.022
114-11101,78.46,95.1875,127.01625,112.1577778,97.87222222,75.42
114-11376,50.39333333,81.0775,80.154,82.879,86.842,70.548
114-11377,156.353,242.387,272.501,303.268,348.584,315.449
114-11504,53.359,50.736,65.579,69.497,69.559,76.474
114-11557,44.79,63.106,60.88,69.18166667,63.616,55.15333333
114-11598,311.1244444,209.097,233.907,270.045,275.999,297.293
114-14841,52.844,66.783,116.709,165.039,121.428,67.831
114-15700,60.793,94.284,155.068,205.784,120.366,77.848
114-15701,116.457,149.761,215.661,228.006,221.879,195.804
114-15717,72.36,72.107,73.705,88.505,86.694,61.29111111
114-15723,29.175,63.64375,49.029,57.629,48.921,55.92375
114N04193,34.196,35.254,38.221,38.995,39.259,39.123
114N04194,7.453,7.585,9.074,9.222,8.999,8.604
114N04195,28.91,29.786,37.242,40.238,37.526,34.452
114N04196,6.22,6.778,8.901,11.842,9.888,7.877
114N04197,16.186,16.874,28.859,39.006,31.778,21.44
114N04198,41.962,45.116,76.894,118.219,94.93,58.208
114N04548,7.434,8.1,9.966,10.552,9.699,9.625
114N04549,4.391,5.195,7.279,8.199,7.034,5.504
114N04551,32.6,36.649,67.669,82.421,59.074,43.53
114N04552,18.657,18.693,53.401,88.958,64.592,23.626
114N08101,,11.45,8.37,9.9275,5.52,
114N10168,12.81714286,23.702,17.398,20.249,23.529,21.425
114N10562,21.565,22.385,33.803,30.919,33.374,36.392
114P04193,44.442,103.236,179.335,184.575,193.994,185.809
114P04194,11.491,18.732,22.571,23.481,26.581,26.546
114P04195,28.041,35.498,41.3,42.978,46.026,47.515
114P04196,7.482,8.786,9.922,10.186,9.916,9.651
114P04197,31.079,34.746,41.03,43.876,41.776,38.397
114P04198,45.279,48.798,64.291,67.169,59.649,58.882
114P04548,11.694,19.033,22.401,22.351,22.892,21.862
114P04549,5.883,8.687,10.102,10.829,11.092,9.132
114P04551,65.449,49.26,54.81,58.749,56.467,50.4
114P04552,19.234,20.43666667,27.975,25.675,25.49166667,26.82222222
114P10168,21.8175,27.034,20.551,23.985,22.861,18.166
114P10562,22.79571429,24.21875,32.936,31.295,32.003,32.14875
114P10991,24.54333333,24.484,28.244,35.255,29.19,22.693
